Smiles,pIC50
Cn1cc2c(Cl)nc(N(C(=O)c3ccccc3)C(=O)c3ccccc3)nc2n1,4.76
O=C(O)c1cnc(NC2CCCC2)n2nc(-c3ccco3)nc12,4.43
Cn1c(=O)c2nc[nH]c2n(C)c1=O,4.68
N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,4.92
CCOC(=O)c1cnc(N2CCCC2)n2nc(-c3ccco3)nc12,4.99
CCCCCCCCc1ccc(O)cc1,4.9
Cn1c(=O)c2nn(C3CCCC3)nc2n(C)c1=O,4.24
Cn1c(=O)[nH]c2[nH]cnc2c1=O,4.12
N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,4.92
O=c1oc2c(O)c(O)ccc2cc1-c1cc(Br)cs1,4.91
C[C@@]1(O)[C@H](O)[C@@H](CCl)O[C@H]1n1cnc2c(NC3CCCC3)nc(Cl)nc21,4.79
O[C@@H]1[C@@H](CSc2ccccc2F)O[C@@H](n2cnc3c(NC4CCOC4)ncnc32)[C@@H]1O,4.72
Nc1ncnc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(CO)C[C@H]12,4.65
CCn1c(=O)[nH]c(=O)c2[nH]cnc21,4.16
Cn1c(=O)c2c(ncn2C)n(C)c1=O,4.63
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NC)nc(C#Cc4ccccc4)nc32)[C@H](O)[C@@H]1O,4.38
Nc1ncnc2c1ncn2CCO,4.96
O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,4.78
Cn1c(=O)c2c(ncn2C)n(C)c1=O,4.63
Nc1ncnc2c1nc(/C=C/C(=O)c1ccccc1)n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,4.33
Cc1cc(C)n(C[C@H]2O[C@@H](n3cnc4c(NC5CCCC5)ncnc43)[C@H](O)[C@@H]2O)n1,4.84
COc1ccc(-n2ccnc2SCC(=O)c2c(N)n(C3CC3)c(=O)[nH]c2=O)cc1,4.6
O=C(Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccc(Cl)cc3)nn12)c1ccccc1,4.71
O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,4.48
CCCn1cnc2ncnc(N)c21,4.75
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NC)nc(C#Cc4ccccn4)nc32)[C@H](O)[C@@H]1O,4.61
CCCn1c(=O)c2nn(C3CCCC3)nc2n(CCC)c1=O,4.89
Cn1c(=O)c2c(ncn2C)n(C)c1=O,4.63
Cn1cc2c(Cl)nc(N(C(=O)c3ccccc3)C(=O)c3ccccc3)nc2n1,4.76
CCCn1cnc2ncnc(N)c21,4.75
O=c1oc2c(O)c(O)ccc2cc1-c1cc(Br)cs1,4.91
CCn1c(=O)[nH]c2[nH]cnc2c1=O,4.02
O=c1oc2c(O)cccc2cc1-c1ccc(O)c(O)c1,4.85
O=c1oc2c(O)c(O)ccc2cc1-c1cc(Br)cs1,4.91
Cn1c(=O)c2c(ncn2C)n(C)c1=O,4.63
Nc1ncnc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(CO)C[C@H]12,4.65
CCOC(=O)c1nc(NC(=O)c2ccc(C)cc2)nc2nn(C)cc12,4.93
O=c1oc2c(O)c(O)ccc2cc1-c1ccsc1,4.83
CONc1nc(C#Cc2ccc(C)cc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,4.46
CCn1cnc2ncnc(N)c21,4.52
Nc1ncnc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(CO)C[C@H]12,4.65
CCOC(=O)c1sc(SCc2ccccc2)c2c1CCCC2=O,4.26
CCOC(=O)c1c(NC(=O)c2sc(Nc3ccc(C)cc3)nc2N(C)C)sc(C(=O)OC)c1C,4.58
Cn1c(=O)c2c(ncn2C)n(C)c1=O,4.63
C[C@@]1(O)[C@H](O)[C@@H](CCl)O[C@H]1n1cnc2c(NC3CCCC3)nc(Cl)nc21,4.79
COc1ccccc1CN1CCCn2c1nc1c2c(=O)n(C)c(=O)n1C,4.95
Nc1ncnc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(CO)C[C@H]12,4.65
CCCCn1cnc2c1c(=O)[nH]c(=O)n2CCC,4.86
CCCn1c(=O)[nH]c(=O)c2[nH]cnc21,4.5
O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,4.78
CONc1nc(C#Cc2ccc(C(C)=O)cc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.57
COc1cc(NC(=O)c2ccc(-c3ccc(Cl)cc3)o2)cc(OC)c1,5.0
COc1ccc(-n2nc3c(N)nc4ccccc4n3c2=O)cc1,6.42
Cc1[nH]c2nc(-c3ccccc3)nc(N[C@H]3CC[C@H](O)CC3)c2c1C,5.79
Cc1ccc(-c2cc(C(=O)NCc3ccccn3)nc(C(C)C)n2)o1,5.76
Cn1c(=O)c2nc[nH]c2n(C)c1=O,5.1
Nc1cc(-c2ccc3c(c2)OCO3)nc(-c2ccccc2)n1,6.25
Nc1cc(-c2ccc3c(c2)OCO3)nc(-c2ccccc2)n1,6.25
Nc1ccc2c(O)c(C(=O)NCc3ccc(Cl)cc3)cnc2n1,6.27
CCCn1c(=O)c2[nH]c(-c3cnn(Cc4cccc(F)c4)c3)nc2n(CC)c1=O,5.6
Cc1ccc2c(O)ccnc2n1,5.75
