Smiles,pIC50
CCCCCCCCc1ccc(O)cc1,4.9
CCCCCCCCc1ccc(O)cc1,4.65
Cc1ccc(Nc2nc(N)nc(CSCCO)n2)cc1,4.77
Nc1nc(CSc2nnc(N)s2)nc(Nc2ccc(F)cc2)n1,4.89
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,4.9
COc1ccc(Nc2nc(N)nc(CSc3nnc(N)s3)n2)cc1,4.85
O=c1oc2c(O)cccc2cc1-c1ccccc1,4.37
Cc1cccc2cc(-c3ccccc3)c(=O)oc12,4.38
N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,4.92
N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,4.94
Cc1ccc(Nc2nc(N)nc(CSC(C)C(=O)N3CCCCCC3)n2)cc1,4.48
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,4.83
Cc1cc2[nH]c3cccnc3c2c(C)c1O,4.6
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,4.85
CCn1cnc2ncnc(N)c21,4.52
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,4.93
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,4.68
O=c1oc2c(O)cccc2cc1-c1ccc(O)c(O)c1,4.85
CC(C)n1cnc2ncnc(N)c21,4.92
O=c1oc2c(O)c(O)ccc2cc1-c1ccccc1,4.92
COCCOC(=O)c1sc(N)c(C#N)c1C,4.77
O=c1oc2c(O)c(O)ccc2cc1-c1ccc(O)cc1,4.26
CCCn1cnc2ncnc(N)c21,4.75
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,4.76
CCOc1cccc2cc(-c3ccccc3)c(=O)oc12,4.26
O=c1oc2c(O)c(O)ccc2cc1-c1ccc(O)c(O)c1,4.59
