Smiles,LogP,MW,QED,SAS,rb,TPSA,pIC50
C[C@H]1C=COCCCC[C@H]1OC,-2.3517,170.252,0.6011037505646206,-4.156891708997859,1,18.46,6.41839075088501
O=C1N(C2Oc3ccccc3C2)C[C@H]1OCc1cccnc1,-1.7702,296.326,0.8069543408846314,-3.426611958396231,4,51.66,6.196865081787109
C/C=C1[C@H]2CC(CC2)C[C@@H]1O,-2.1136000000000004,152.23700000000002,0.5270131250513839,-4.823844344472352,0,20.23,6.144833564758301
O=C1C[C@@H]2C=CCC[C@H]2C(=O)Nc2ccncc12,-2.1888999999999994,242.278,0.7093054309378815,-3.66281822838482,0,59.06,5.811954498291016
O=C1[C@]2OCc3ccccc3C[C@H]2O[C@@H]1NCCC,-1.58489,260.313,0.8961761478988995,-3.8331368346748182,3,47.56,6.873653411865234
C/C=C1[C@H][C@@H]n2cccc2[C@@H]1C,-2.765680000000001,159.23199999999997,0.548242231517252,-4.598200288435793,0,4.93,6.145318031311035
C[C@H][C@@H]1CCCCC[C@@H]1OF,-3.0605900000000013,159.224,0.5625162107445356,-4.088722569879294,2,9.23,6.548407077789307
C[C@H][C@H]1CC/C(=C)C[C@@H]1O,-1.9277900000000003,139.21800000000002,0.5502264689042942,-4.469514180902738,1,20.23,6.20327091217041
OCCCCCCCCCCCCO,-2.872000000000002,202.338,0.5057430136371702,-1.4106527325060778,11,40.46,6.10455322265625
COc1cc2[nH]c(CC)cc2nc1[C@H]1CC(=O)N1CC,-2.427200000000001,273.33600000000007,0.8703399478473356,-3.382047712464642,4,58.22,5.221970558166504
COCC[C@H]1CCSCCC1=O,-1.7352,188.292,0.6745028060860881,-3.306704360833983,3,26.3,5.976596832275391
COCc1cc[nH]c1COc1cc[nH]c1C(=O)N,-1.1670999999999998,249.27,0.7169068550956732,-3.094854340019064,6,93.13,5.513678550720215
O=Cc1ccncc1OCCCC2CCCN[C]2,-2.09149,246.30999999999992,0.61657488081724,-4.09818264785467,6,51.22,6.430118560791016
Oc1ccc2cncc2cc1,-1.892,145.161,0.6136624691230534,-1.7068335093741511,0,33.120000000000005,5.815407752990723
C=C1[C@H]2C[C@@H](c3ccccc3)[C@]2O[C@@H]1CCC,-4.077190000000003,227.32699999999997,0.7069940776035082,-3.967480572972837,3,9.23,6.183779716491699
C[C@H]1CSc2ccccc2CN[C@@]1O,-2.3799899999999994,208.306,0.686309141318891,-3.5114021181499586,0,32.26,6.178769111633301
C[C@H]1C=C[C@@](Cl)C[C@H]1N,-1.68049,144.625,0.550263063555781,-4.582318975298936,0,26.02,5.969165802001953
O=C1C[C@@]2Oc3cccc(C)c3[C@@H]1Oc1nccnc21,-2.15041,267.264,0.731545130547489,-4.5238817176733,0,61.31,6.024524688720703
C[C@H]1C[C@@H]2CCC[C@H]1OC2=N,-2.1887700000000003,153.22500000000002,0.5682054999776588,-4.981659232809822,0,33.08,6.6154985427856445
C/C=C1[C@H]2[C@@H]3CC=C[C@@]3O[C@H]2CC1,-2.849590000000001,175.25099999999995,0.5143013926804404,-4.911609454600578,0,9.23,6.607505798339844
COCC=C1CCOCCCNCCCCCCN1CC#C,-2.4123,308.46599999999995,0.8119749381683596,-3.664493495413808,3,33.730000000000004,6.320448875427246
COCCSCCCNCCc1ccnccCCNC[C@@H]1C,-2.876100000000001,339.5490000000001,0.6008939699342285,-4.368567958440565,10,45.65,6.249454021453857
C[C@H]1[C@H]C2CCC[C@@H]2C=CN1CC,-2.844690000000001,178.299,0.5965422416728634,-4.60439973800139,1,3.24,6.18691873550415
OCCCSCCCCCCc1cccnc1[O-],-2.3737000000000004,268.402,0.6619177974319707,-2.857824005873571,10,56.18000000000001,6.323634624481201
C[C@H]1[C@@H](CO)CC=C[C@@H]1OC,-1.2059,156.22499999999997,0.6087617985418237,-3.965929555059025,2,29.46,6.337071418762207
Oc1c2C=C(Oc3ccccc31)CO[C@@H]2O,-1.5805999999999996,218.208,0.6937112484493991,-4.535981310327691,0,58.92,6.352198600769043
O=C1C[C@@]2COCCC2C[C@@H]1CO[C@H](C)CCC,-2.781690000000001,253.36199999999997,0.7555046583584396,-4.395463196789907,5,35.53,6.434595584869385
